Русский язык,,,,,,,,,,,,,,История,,,,,,,Физика,,,,,,,,,,,,,,Информатика,,,,,,,,,,,,,,Обществознание,,,,,,,,,,,,,,,Математика,,,,,,,,,,,,
ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,
№,дата,формат,кол-во заданий,кол-во заданий (сумма),готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,тема,кол-во заданий,кто делает,готово?,,№,дата,раздел,тема,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?
1,15.04,с 1 по 3,по 3,9,TRUE,,1,06.04,2 (ОГЭ),5,Даша,TRUE,,1,27.04,"1-5, 7",по 1,Захар,TRUE,,1,25.04,1,12,Вова,TRUE,,1,25.04,1-2,по 15,Лёша,TRUE,,1,22.04,1,8,Ваня,TRUE,,1,05.05,1,по 15,Ваня,TRUE,,1,21.04,Человек 1.1 Человек как результат эволюции. Личность. Потребности и интересы,6,Гоша,TRUE,,1,25.04,Человек,Человек – биосоциальное существо. Потребности и интересы,6,Гоша,TRUE,,1,05.04,1 2 3 4 5 7 8 10 11 12 13,11,Олег,TRUE,,1,25.04,6-14 + 15-19,10,Олег,TRUE
2,16.04,4,15,15,TRUE,,2,07.04,2 (ОГЭ),5,Даша,TRUE,,2,28.04,"1-5, 7",по 1,,TRUE,,2,26.04,2,12,,FALSE,,2,26.04,3,по 15,,FALSE,,2,23.04,2,8,,TRUE,,2,06.05,2,по 15,,TRUE,,,,"Человек 1.2 Мировоззрение, его виды. Общественное и индивидуальное сознание",6,,TRUE,,,,Человек,"Индивид, индивидуальность, личность. Социализация",6,,FALSE,,2,06.04,1 3 3 4 6 7 8 9 10 12 15,11,,TRUE,,2,26.04,6-14 + 15-19,10,,TRUE
3,17.04,5,15,15,TRUE,,3,08.04,3 (ОГЭ),5,Даша,TRUE,,3,29.04,"1-5, 7",по 1,,TRUE,,3,27.04,3,14,,FALSE,,3,27.04,3,по 15,,FALSE,,3,24.04,3,5,,TRUE,,3,07.05,3,по 15,,TRUE,,,,"Человек 1.3 Деятельность, её структура. Мотивы деятельности",7,,TRUE,,,,Человек,"Деятельность человека, её виды",8,,FALSE,,3,07.04,1 2 3 3 4 7 8 9 10 12 16,11,,TRUE,,3,27.04,6-14 + 15-19,10,,TRUE
4,18.04,6,15,15,TRUE,,4,09.04,3 (ОГЭ),5,Даша,TRUE,,4,30.04,"1-5, 7",по 1,,TRUE,,4,28.04,4,14,,FALSE,,4,28.04,4,по 10,,FALSE,,4,25.04,4,7,,TRUE,,4,08.05,4,по 10,,TRUE,,2,22.04,Человек 1.4 Познавательная деятельность. Чувственное и рациональное познание. Мышление,10,,TRUE,,2,26.04,Человек,Познание человеком мира и самого себя,10,,FALSE,,4,08.04,1 3 3 4 6 7 8 10 11 12 13,11,,TRUE,,4,28.04,6-14 + 15-19,10,,TRUE
5,19.04,7,15,15,TRUE,,5,10.04,"2, 3 (ОГЭ)",по 5,Даша,TRUE,,5,01.05,"1-5, 7",по 1,,TRUE,,5,29.04,5,8,,FALSE,,5,29.04,4,по 10,,FALSE,,5,26.04,5,5,,TRUE,,5,09.05,5,по 15,,TRUE,,,,"Человек 1.5 Понятие истины, её критерии. Абсолютная и относительная истина",10,,TRUE,,,,Человек,"Общение, его виды и функции",10,,FALSE,,5,09.04,1 2 3 3 4 7 8 9 10 12 15,11,,TRUE,,5,29.04,6-14 + 15-19,10,,TRUE
6,20.04,8,4,4,TRUE,,6,11.04,"2, 3 (ОГЭ)",по 5,Даша,TRUE,,6,02.05,"1-5, 7",по 1,,TRUE,,6,30.04,6,8,,FALSE,,6,30.04,4,по 10,,FALSE,,6,27.04,6,5,,TRUE,,6,10.05,6,по 15,,TRUE,,3,23.04,Человек 1.6 Общество как система. Общественные отношения,10,,TRUE,,3,27.04,Человек,Межличностные отношения. Межличностные конфликты,10,,FALSE,,6,10.04,1 3 3 4 6 7 8 9 10 12  16,11,,TRUE,,6,30.04,6-14 + 15-19,10,,TRUE
7,21.04,9,10,10,TRUE,,7,12.04,"2, 3 (ОГЭ)",по 5,Даша,TRUE,,7,03.05,"6, 8, 9-12",по 1,,TRUE,,7,01.05,"22мех, 26",3 и 3,,FALSE,,7,01.05,5,по 10,,FALSE,,7,28.04,7,6,,TRUE,,7,11.05,7,по 15,,TRUE,,,,Человек 1.7 Социальные институты: признаки и функции,10,,TRUE,,,,Человек,Общество как форма жизнедеятельности людей,10,,FALSE,,7,11.04,1 2 3 3 4 7 8 9 10 12 13,11,,TRUE,,7,01.05,6-14 + 15-19,10,,TRUE
8,22.04,10,10,10,TRUE,,8,13.04,16 (ЕГЭ),5,Даша,TRUE,,8,04.05,"1-5, 7",по 1,,TRUE,,8,02.05,7,12,,FALSE,,8,02.05,5,по 10,,FALSE,,8,29.04,8,5,,TRUE,,8,12.05,8,по 15,,TRUE,,4,24.04,Человек 1.8 Типы обществ. Постиндустриальное (информационное) общество,10,,TRUE,,4,28.04,Человек,Типы обществ. Общественное развитие,10,,FALSE,,8,12.04,1 3 3 5 6 7 9 9 10 12 15,11,,TRUE,,8,02.05,6-14 + 15-19,10,,TRUE
9,23.04,11,10,10,TRUE,,9,14.04,17 (ЕГЭ),10,Даша,TRUE,,9,05.05,"1-5, 7",по 1,,TRUE,,9,03.05,8,12,,FALSE,,9,03.05,6,по 10,,FALSE,,9,30.04,9,5,,TRUE,,9,13.05,9,по 15,,TRUE,,,,Человек 1.9 Многовариантность общественного развития. Прогресс и регресс. Глобализация,10,,TRUE,,5,29.04,Общество,Общество как система. Социальные институты,10,,FALSE,,9,13.04,1 2 3 3 4 7 9 9 10 12 16,11,,TRUE,,9,03.05,6-14 + 15-19,10,,TRUE
10,24.04,12,10,10,TRUE,,10,15.04,18 (ЕГЭ),10,Даша,TRUE,,10,06.05,"1-5, 7",по 1,,TRUE,,10,04.05,9,8,,FALSE,,10,04.05,6,по 10,,FALSE,,10,01.05,10,8,,TRUE,,10,14.05,10,по 15,,TRUE,,5,25.04,Человек 1.10 Понятие культуры. Формы и разновидности культуры. Духовные ценности,10,,TRUE,,,,Общество,Социальный конфликт и пути его разрешения,10,,FALSE,,10,14.04,1 3 3 5 6 7 8 9 10 12 13,11,,TRUE,,10,04.05,6-14 + 15-19,10,,TRUE
